smiles,lgHL
N#CC1(CCC(CC1)C(=O)O)c1ccc(c(c1)OC1CCCC1)OC,0.898
CCc1nn(c(=O)n1CCOc1ccccc1)CCCN1CCN(CC1)c1cccc(c1)Cl,0.0792
OC(C(NC(=O)c1cccc(c1C)O)CSc1ccccc1)CN1CC2CCCCC2CC1C(=O)NC(C)(C)C,0.628
O=N(=O)OC1COC2C1OCC2ON(=O)=O,0.227
CCCNCC(COc1ccccc1C(=O)CCc1ccccc1)O,0.322
NCCCCCN(C(=O)CCC(=O)NCCCCCN(C(=O)CCC(=O)NCCCCCN(C(=O)C)O)O)O,0.778
CCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1,0.477
Nc1c2CCCCc2nc2c1cccc2,0.519
CC(=O)NCCCS(=O)(=O)O,1.42
OS(=O)CNc1ccc(cc1)S(=O)(=O)c1ccc(cc1)NCS(=O)O,0.74
O=N(=O)c1ccc(c(c1)N(=O)=O)C,0.301
Clc1c(ccc(c1Cl)Cl)c1ccc(c(c1Cl)Cl)Cl,4.55
COc1ccc(cc1OC)CCN(CCCC(c1ccc(c(c1)OC)OC)(C(C)C)C#N)C,0.447
CCCCCC(C=CC1C(O)CC(=O)C1CCCCCCC(=O)O)O,-0.903
OC(=O)C1N2C(=O)CC2S(=O)(=O)C1(C)C,0.0414
Brc1cc(Br)c(c(c1)Br)Oc1cc(Br)cc(c1)Br,4.17
NC(c1ccccc1)C(=O)NC1C(=O)N2C1SCC(=C2C(=O)O)Cl,-0.125
CCOC(=O)C(NC(C(=O)N1CCCC1C(=O)O)C)CCc1ccccc1,1.04
O=C1C=CC2(C(=C1)C(=C)CC1C2CCC2(C1CCC2=O)C)C,1.38
O=C1CCc2c(N1)ccc(c2)OCCCCc1nnnn1C1CCCCC1,1.08
ClC=C,-1.0
NC(=O)NN=Cc1ccc(o1)N(=O)=O,0.699
CCOC(=O)C1=C(C)NC(=C(C1c1cccc(c1Cl)Cl)C(=O)OC)C,1.0
CCC(=O)OC(c1ccccc1)(C(CN(C)C)C)Cc1ccccc1,1.26
OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(Cl)cc2,0.973
Clc1ccccc1c1cccc(c1Cl)Cl,2.7
CC(OC(=O)c1ccccc1)CNC1CCCCC1,-0.778
CCC1(O)C(=O)OCc2c1cc1c3nc4cccc(c4cc3Cn1c2=O)N,0.845
CC(=O)Nc1nnc(s1)S(=O)(=O)N,1.11
CN(NN=C1N=CN=C1C(=O)N)C,0.792
Nc1ccn(c(=O)n1)C1CCC(O1)CO,0.0792
OCC1OC(=O)N(C1)c1cccc(c1)C,0.204
CN(Cc1cccc2c1cccc2)Cc1ccc(cc1)C(C)(C)C,2.18
NC(=N)c1ccc(cc1)OCCCCCOc1ccc(cc1)C(=N)N,1.4
O=C1CCC2(C(=C1)C=CC1C2CCC2(C1CCC2C(=O)C)C)C,0.778
CC(C(=O)N1CC2=CC=CC=C2CC1C(=O)O)NC(CCC3=CC=CC=C3)C(=O)O,0.362
OCC(=O)C1(O)CCC2C1(C)CC(O)C1C2CCC2=CC(=O)C=CC12C,0.531
CCn1cc(C(=O)O)c(=O)c2c1nc(C)cc2,0.255
Clc1cccc(c1c1c(Cl)c(Cl)cc(c1Cl)Cl)Cl,3.48
O=C1NC(=O)C(C(=O)N1C)(C)C1=CCCCC1,0.69
COC12CCC3(CC1C(C(C)(C)C)(O)C)C14C2Oc2c4c(CC3N(CC1)CC1CC1)ccc2O,0.505
O=C(NC1CCN(C1)C(=O)C1CC(CN1C)SC1=C(C(=O)O)N2C(C1C)C(C2=O)C(O)C)CN=C(N)N,0.23
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)c1ncccn1,0.398
OC(=O)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,2.68
O=C1C=CC2(C(N1)CCC1C2CCC2(C1CCC2C(=O)Nc1cc(ccc1C(F)(F)F)C(F)(F)F)C)C,2.92
CCC(C(c1ccccc1)(c1ccccc1)CC(N(C)C)C)OC(=O)C,1.26
COC(=O)C1=C(C)NC(=C(C1c1cccc2c1non2)C(=O)OC(C)C)C,0.519
CCn1cc(C(=O)O)c(=O)c2c1nc(N1CCNCC1)c(c2)F,0.708
CNCCC=C1c2ccccc2CCc2c1cccc2,1.48
Clc1cccc(c1c1c(Cl)cccc1Cl)Cl,2.01
CCOC(=O)C(NC(C(=O)N1Cc2cc(OC)c(cc2CC1C(=O)O)OC)C)CCc1ccccc1,0.0
Clc1ccc(c(c1)c1c(Cl)cc(cc1Cl)Cl)Cl,3.48
OC1C(N)CC(OC1C)OC1CC(O)(Cc2c1c(O)c1c(c2O)C(=O)c2c(C1=O)cccc2)C(=O)C,1.2
Fc1ccc(cc1)C(=O)C1CCN(CC1)CCn1c(=O)[nH]c2c(c1=O)cccc2,1.08
Clc1ccc(c(c1)Cl)c1c(Cl)cccc1Cl,2.18
CCN(c1cccc(c1)c1ccnc2n1ncc2C#N)C(=O)C,0.0414
Clc1c(Cl)cc(c(c1Cl)c1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl)Cl,5.08
COc1ccc2c(c1)ccc(c2)C(C(=O)O)C,1.18
NCCON=C(c1ccc(cc1)C(F)(F)F)CCCCOC,1.19
COc1ccc(cc1)C(C1(O)CCCCC1)CN(C)C,0.699
Clc1ccc2c(c1)C(=Nc1c(O2)cccc1)N1CCNCC1,0.903
OCc1cc2CCC(Nc2cc1N(=O)=O)CNC(C)C,0.243
NC(=N)N,0.875
OCC(=O)C1(O)CCC2C1(C)CC(O)C1(C2CCC2=CC(=O)CCC12C)F,0.544
COc1ccc(cc1)c1nc2c([nH]1)cc(cc2)C1=NNC(=O)CC1C,0.255
NCC1CN(CC1=NOC)c1nc2c(cc1F)c(=O)c(cn2C1CC1)C(=O)O,0.845
Fc1ccc(c(c1)F)C(Cn1cncn1)(Cn1cncn1)O,1.48
OC(=O)CCSC(c1cccc(c1)C=Cc1ccc2c(n1)cc(cc2)Cl)SCCC(=O)N(C)C,0.362
Fc1c[nH]c(=O)[nH]c1=O,-0.602
OCC1OC(C(C1O)O)n1ccc(nc1=O)N,-0.778
CCC(=C(c1ccccc1)c1ccc(cc1)OCCN(C)C)c1ccccc1,2.16
CNC(=O)c1c(I)c(NC(=O)C)c(c(c1I)C(=O)O)I,0.114
Clc1ccc(cc1c1cc(Cl)ccc1Cl)Cl,3.66
CNCCCC12CCC(c3c1cccc3)c1c2cccc1,1.71
CC(C(=O)NC1C(=O)N2C1SC(C2C(=O)O)(C)C)Oc1ccccc1,-0.041
CN(CC(CN1c2ccccc2CCc2c1cccc2)C)C,1.36
